origin_as,prefix_count,cv_mean_within_as,as_prefix_cv_stddev,as_prefix_cv_range,total_updates
24824,3,0.7089525732194691,0.22854056953442578,0.4109841130660723,9257
24835,330,0.5026220052747102,0.33576076407069155,1.2422901250523488,340272
24863,321,0.44288517020198853,0.2525818485892662,1.251001230077708,285195
24940,3,0.08434772634889404,0.002006915610778327,0.0034760798043711877,1611
24955,7,0.2694043092625321,0.3730473535819217,0.7698339956466446,2689
24994,3,0.5460244661311539,0.1310039403771144,0.26133673723475415,4894
25019,80,0.4447492654385402,0.3798351054450794,1.1793052076502366,51266
25039,3,1.1615082931204572,0.0,0.0,4533
25048,63,0.2726741744668582,0.45779630730082105,2.220987293085597,151074720
2505,3,0.2111728653980848,0.105462132135098,0.18266577113253213,1163
25071,10,0.22657133547956293,0.11748291275944278,0.37433243479416733,8067
25073,11,0.41063567231012493,0.23678640309683963,0.730361670735554,11529
25082,9,0.4807993500945057,0.25406321584690267,0.658187678920662,11743
2510,64,0.14889540721953232,0.0836829687979817,0.2750676260927244,3335601
25106,9,0.42525695420717236,0.40936100980578954,0.8716685156904092,6784
25122,3,0.6035265275865943,0.42385845243663595,0.7928527268124947,1701
25129,28,0.786642284248731,0.013562317406047499,0.07176503811624857,14897
25139,25,0.1990166461550782,0.2145400356810747,0.7326728279475315,48275
25141,4,0.4433047484472161,0.011924652890480864,0.023849305780961727,5653
25143,6,0.8125627265138492,0.18234723428968225,0.3857557445379791,45321
25145,728,0.1305403243546913,0.11018762933769112,0.7527490323414983,170958946
25147,4,0.6553775182488322,0.005327132768653542,0.010654265537307084,1558
25150,5,0.4490695935914169,0.04050731153622021,0.09308992085807727,5006
25159,10,0.6090303872727281,0.4448002072680329,1.0297759644695548,6669
2516,9,0.15916845674174548,0.10456101292181447,0.30158299703341934,501834
25163,35,0.2502913580814305,0.2922155098628323,0.9002718061606987,462672
2518,3,0.11952103609750518,0.09195879654416053,0.17538427974041826,51090
25180,5,0.18742350558856127,0.1639775092526443,0.3978982317107246,2873
25184,23,0.47233442093933375,0.28413156965290365,1.1482492979510526,25088
252,5,0.5646864013976611,0.0,0.0,3680
25227,20,0.7382425540782026,0.3140169349650195,0.923456963323576,15887
25229,5,0.7318556935150895,0.1953934113644364,0.46849081610972376,3899
25233,11,0.4044486645508615,0.10990530773159268,0.4350655518193902,8242
25242,7,0.42922656064888753,0.20605253064048693,0.5391313449437732,5456
25251,4,0.9255252495228545,0.014828861547951192,0.03630189950288554,29369
25274,10,0.3881622637607536,0.0,0.0,5210
25299,7,0.34262794332067925,0.0688613277878979,0.1288574168615193,7375
25308,4,0.261729725803077,0.19513557571329543,0.39670953535044595,3426
25364,5,0.5484476253068974,0.352707318558329,0.6439525152385244,2144
25369,7,0.1696447772447476,0.16104570544574334,0.37596322942007016,3657
25374,59,0.4656996896746326,0.2713192339361368,1.0264997344028528,43839
25389,10,1.2765840374629156,0.07772178483863795,0.24751610308008143,34179
254,7,0.6149007447965779,0.09992017923551746,0.2868294013603231,29123
25400,4,0.06264786863204622,0.016691393431512935,0.03849394191762454,1622
25429,14,0.49350923231612803,0.24439189178742077,0.9784265960296179,54395
25454,19,0.3490488340777496,0.3109426307489561,1.2278819498964635,112302
25467,19,0.66342766867518,0.21886550075800765,0.7587065498889963,76452
25472,9,0.5888309511547731,0.47962555518032524,1.2128044727068255,10532
2549,3,0.8290265556791825,0.001585062765151139,0.002745409242427388,6700
25490,18,0.7402100567320375,0.23192486861425943,0.7033416987034176,11640
25505,3,0.6896932711510361,0.44726312032492044,0.8821947777768017,7240
25511,3,0.764835950038251,0.0,0.0,2280
25527,3,0.5705138209778365,0.0,0.0,2799
25530,3,0.5720236493613409,0.4562170776155619,0.9088874340647053,4269
25534,6,0.3791269419730618,0.0,0.0,4866
25540,8,0.3402371825660169,0.27449875013590774,0.8015336538985989,7634
25543,46,0.6003949211386074,0.2245157713078512,0.8744133603797942,121783
25549,13,0.6018338591376634,0.2648353154558489,0.7364281537075789,10926
25576,20,0.4495043975095229,0.03659300328007153,0.16531012739425122,16785
25579,26,0.020299716206312365,3.538155541877298e-18,0.0,5434
25588,3,0.5346874116118397,0.02111890000520418,0.03657900780898027,2723
25607,10,0.7039600344625154,0.09630735944784677,0.32990406458244537,41116
25620,39,0.4685585291209319,0.17546218236649214,0.9798521376483776,37996
25645,8,0.551571340927454,0.41472462248820474,0.9560487843302949,9543
25671,5,0.5111850735965138,0.0,0.0,4285
25679,5,0.338978648883207,0.0,0.0,5170
25695,8,0.39787066796568965,0.0,0.0,5744
2570,14,0.32418885098557565,0.0381280243717625,0.08954122398055009,6177
25706,4,0.03754549280636535,0.0,0.0,904
2571,35,0.20089929690803907,0.24595166154015477,1.0544273945888636,477050
2572,4,0.5100775720162399,0.3466504579405705,0.8213054883035897,3881
2576,6,0.13894027393635475,0.19195380725413907,0.4857230844722268,3464
25773,4,0.08773485546162738,0.0366336634404502,0.08938614661083327,1702
25787,4,0.026433898362113923,0.0,0.0,2568
25818,8,0.556620922755644,0.3125395724169491,0.898207772482103,35668
25820,25,0.14695201216290898,0.22958149234549022,0.8225062720664192,13394
25832,5,0.4108483173955252,0.30932737462753085,0.7410401747831834,5630
25846,8,0.3681938422020197,0.273483503334562,0.6273263101728681,274306
25855,3,0.6206840620277664,0.4302583163948055,0.8389824097627431,5887
25891,3,0.3210867548210804,0.30397925986084634,0.5879653794046816,83795
25933,13,0.3203693758583074,0.27259126258468785,0.7984020213156829,22868
25934,5,0.8563116277451066,0.31379789476663816,0.7507652142765232,14091
25955,4,0.6039212592734335,0.2702172909458858,0.6412851685814184,4603
25956,6,0.21508117960385564,0.21125768256715782,0.5492848692111636,4437
2597,3,0.18457664043835628,0.20383519620484417,0.3707224664948935,1227
25984,4,0.6607201927008506,0.0,0.0,4708
25985,5,0.48832475792616253,0.463353837466403,0.9775373496868685,3970
25996,4,0.09236045679820515,0.03977765463185125,0.09523305735173401,1876
26042,12,0.43939659831944083,0.3275118492722666,0.7799378266484556,9722
26057,3,0.19838471612016595,0.1317639479996046,0.25350179220282076,2029
26073,4,0.1547869885407333,0.11470887294132423,0.2002913998819161,1474
26077,36,0.21872992906966454,0.16277244688524364,0.3252547242610014,36412
26081,3,0.539447226498968,0.3579372082851043,0.6199654306691642,3876
26083,3,0.7392203376723522,0.0,0.0,2943
26097,11,1.05171982578349,0.23301996403293426,0.866813370038069,12389
26101,49,0.012669519808190498,0.004597445662098451,0.017341712155485422,24992
26104,4,0.3222465079348013,0.0,0.0,8036
26129,16,0.31063665226390763,0.10865932775597281,0.4179705851618994,8272
2613,4,0.017492048399261093,0.023099949215554996,0.04619989843111,1884
